,Date,Week,SameDiv,SameConf,GameID,Team_V,Team_H,Final_V,Final_H,ML_V,ML_H,Injuries_V,Injuries_H,Division_V,Division_H,Conference_V,Conference_H,Szn_Win_per_V,Szn_Win_per_H,UD_tot_V,UD_tot_H,FV_tot_V,FV_tot_H,UD_win_per_V,UD_win_per_H,FV_win_per_V,FV_win_per_H,prev_win_rec_V,prev_win_rec_H,prev_loss_rec_V,prev_loss_rec_H,HC_win_per_V,HC_win_per_H,HC_g_V,HC_g_H,Prev_szn_win_per_V,Prev_szn_win_per_H,Off_Bye_Wk_V,Off_Bye_Wk_H,Winner
23,9/16/2018,2,N,Y,23,KansasCity,Pittsburgh,42,37,180,-220,7,7,AFCWest,AFCNorth,AFC,AFC,1,0,1,0,0,1,1,0.5,0.5,0,1,0,0,1,0.638522,0.632,379,250,0.625,0.813,N,N,V
24,9/16/2018,2,Y,Y,24,Miami,NYJets,20,12,145,-170,8,13,AFCEast,AFCEast,AFC,AFC,1,1,0,1,0,0,0.5,1,0.5,0.5,1,1,0,0,0.4,0.447368,65,76,0.375,0.313,N,N,V
25,9/16/2018,2,N,Y,25,Philadelphia,TampaBay,21,27,-160,140,4,6,NFCEast,NFCSouth,NFC,NFC,1,1,1,1,0,0,1,1,0.5,0.5,1,1,0,0,0.544444,0.454545,90,33,0.813,0.313,N,N,H
26,9/16/2018,2,N,N,26,Cleveland,NewOrleans,18,21,400,-550,9,5,AFCNorth,NFCSouth,AFC,NFC,0,0,1,0,0,1,0,0.5,0.5,0,0,0,0,1,0.183673,0.65237,49,443,0,0.688,N,N,H
27,9/16/2018,2,Y,Y,27,Arizona,LARams,0,34,650,-1000,12,3,NFCWest,NFCWest,NFC,NFC,0,1,0,0,1,1,0.5,0.5,0,1,0,1,1,0,0.461538,0.56044,13,91,0.5,0.688,N,N,H
28,9/16/2018,2,N,Y,28,Detroit,SanFrancisco,27,30,225,-275,5,10,NFCNorth,NFCWest,NFC,NFC,0,0,0,1,1,0,0.5,0,0,0.5,0,0,1,1,0.25,0.586466,28,266,0.563,0.375,N,N,H
29,9/16/2018,2,N,Y,29,NewEngland,Jacksonville,20,31,-125,105,6,9,AFCEast,AFCSouth,AFC,AFC,1,1,0,0,1,1,0.5,0.5,1,1,1,1,0,0,0.611111,0.409639,234,83,0.813,0.625,N,N,H
30,9/16/2018,2,Y,Y,30,Oakland,Denver,19,20,210,-260,11,10,AFCWest,AFCWest,AFC,AFC,0,1,1,0,0,1,0,0.5,0.5,1,0,1,1,0,0.528037,0.352941,214,17,0.375,0.313,N,N,H
31,9/16/2018,2,Y,Y,31,NYGiants,Dallas,13,20,120,-140,5,7,NFCEast,NFCEast,NFC,NFC,0,0,1,1,0,0,0,0,0.5,0.5,0,0,1,1,0.28,0.547445,50,137,0.188,0.563,N,N,H
32,9/17/2018,2,N,Y,32,Seattle,Chicago,17,24,190,-240,11,4,NFCWest,NFCNorth,NFC,NFC,0,0,1,1,0,0,0,0,0.5,0.5,0,0,1,1,0.582418,0.44,91,50,0.563,0.313,N,N,H
33,9/20/2018,3,N,Y,33,NYJets,Cleveland,17,21,170,-200,12,9,AFCEast,AFCNorth,AFC,AFC,0.5,0,1,2,1,0,1,0,0,0.5,1,0,1,1,0.441558,0.18,77,50,0.313,0,N,N,H
